fixture_id,date,home,away,predicted,actual,correct,confidence,home_odds,draw_odds,away_odds,p_home_comp,p_draw_comp,p_away_comp
1379288,2026-04-10,West Ham,Wolves,home,home,True,0.48191489361702133,1.8,3.75,4.5,0.48191489361702133,0.25531914893617025,0.26276595744680853
1379279,2026-04-11,Arsenal,Bournemouth,home,away,False,0.7187640449438203,1.44,4.5,7.0,0.7187640449438203,0.20973782771535582,0.07149812734082397
1379281,2026-04-11,Burnley,Brighton,away,away,True,0.6770978441127695,5.0,4.2,1.65,0.09487562189054725,0.22802653399668324,0.6770978441127695
1379280,2026-04-11,Brentford,Everton,home,draw,False,0.3802959501557632,2.2,3.25,3.4,0.3802959501557632,0.2912772585669782,0.32842679127725866
1379284,2026-04-11,Liverpool,Fulham,home,home,True,0.5063679750359471,1.7,4.2,4.33,0.5063679750359471,0.2251965613240738,0.2684354636399792
1379283,2026-04-12,Crystal Palace,Newcastle,away,home,False,0.4443859649122807,3.0,3.6,2.25,0.29245614035087725,0.26315789473684215,0.4443859649122807
1379286,2026-04-12,Nottingham Forest,Aston Villa,home,draw,False,0.36019175846593227,2.6,3.3,2.7,0.36019175846593227,0.28641370869033056,0.3533945328437373
1379287,2026-04-12,Sunderland,Tottenham,away,home,False,0.3708184017384886,2.75,3.2,2.62,0.3337615318381238,0.2954200664233876,0.3708184017384886
1379282,2026-04-12,Chelsea,Manchester City,away,away,True,0.5827777777777778,3.5,3.9,1.95,0.1741666666666666,0.24305555555555558,0.5827777777777778
1379285,2026-04-13,Manchester United,Leeds,home,away,False,0.6183589656281331,1.62,4.1,5.0,0.6183589656281331,0.22983939617501847,0.1518016381968485
1391126,2026-04-10,Real Madrid,Girona,home,draw,False,0.7734693390598903,1.3,6.0,8.5,0.7734693390598903,0.15819613457408735,0.06833452636602244
1391127,2026-04-11,Real Sociedad,Alaves,home,draw,False,0.5584436953206517,1.73,3.75,4.5,0.5584436953206517,0.24993980255237178,0.19161650212697648
1391122,2026-04-11,Elche,Valencia,away,home,False,0.42968307866440286,2.55,3.4,2.75,0.2901810979060555,0.2801358234295416,0.42968307866440286
1391120,2026-04-11,Barcelona,Espanyol,home,home,True,0.8,1.3,5.75,9.0,0.8275558983338197,0.16258806853712426,0.009856033129056014
1391128,2026-04-11,Sevilla,Atletico Madrid,away,home,False,0.3924561403508772,2.25,3.6,3.0,0.34438596491228074,0.26315789473684215,0.3924561403508772
1391125,2026-04-12,Osasuna,Real Betis,home,draw,False,0.40489177489177486,2.15,3.4,3.4,0.40489177489177486,0.2792207792207792,0.3158874458874459
1391124,2026-04-12,Mallorca,Rayo Vallecano,home,home,True,0.3845466801482979,2.35,3.2,3.1,0.3845466801482979,0.29464105156723963,0.3208122682844624
1391121,2026-04-12,Celta Vigo,Oviedo,home,away,False,0.4905405405405405,1.75,3.5,5.0,0.4905405405405405,0.2702702702702703,0.23918918918918922
1391119,2026-04-12,Athletic Club,Villarreal,home,away,False,0.44349177330895795,2.0,3.5,3.7,0.44349177330895795,0.2705667276051188,0.2859414990859232
1391123,2026-04-13,Levante,Getafe,away,home,False,0.37809523809523815,2.7,3.0,3.0,0.30047619047619045,0.32142857142857145,0.37809523809523815
1388560,2026-04-10,FC Augsburg,1899 Hoffenheim,away,draw,False,0.5267025089605735,3.5,3.8,2.0,0.22240143369175625,0.25089605734767023,0.5267025089605735
1388568,2026-04-11,VfL Wolfsburg,Eintracht Frankfurt,away,away,True,0.4396129363855612,2.55,3.6,2.62,0.29624283398568774,0.26414422962875106,0.4396129363855612
1388561,2026-04-11,Borussia Dortmund,Bayer Leverkusen,home,away,False,0.48595118449389807,2.0,3.9,3.4,0.48595118449389807,0.24407753050969133,0.2699712849964106
1388565,2026-04-11,RB Leipzig,Borussia Mönchengladbach,home,home,True,0.6695502357635111,1.45,5.0,6.0,0.6695502357635111,0.1893362350380849,0.1411135291984041
1388563,2026-04-11,1. FC Heidenheim,Union Berlin,away,home,False,0.37168284789644007,2.8,3.5,2.45,0.3564724919093852,0.27184466019417475,0.37168284789644007
1388566,2026-04-11,FC St. Pauli,Bayern München,away,away,True,0.779009009009009,7.0,5.0,1.4,0.03180180180180177,0.1891891891891892,0.779009009009009
1388562,2026-04-12,1. FC Köln,Werder Bremen,away,home,False,0.38656101426307443,2.35,3.4,3.0,0.3341204437400951,0.2793185419968304,0.38656101426307443
1388567,2026-04-12,VfB Stuttgart,Hamburger SV,home,home,True,0.7929773234637528,1.3,5.75,9.0,0.7929773234637528,0.16496298907296442,0.042059687463282806
1388564,2026-04-12,FSV Mainz 05,SC Freiburg,home,away,False,0.4155023511490827,2.25,3.1,3.4,0.4155023511490827,0.3039936419630439,0.2805040068878734
1378182,2026-04-10,AS Roma,Pisa,home,home,True,0.7659851645804359,1.33,5.25,8.5,0.7659851645804359,0.17969401947148816,0.05432081594807603
1378176,2026-04-11,Cagliari,Cremonese,home,home,True,0.4667292704740003,2.0,3.1,3.9,0.4667292704740003,0.29896512073591414,0.23430560879008566
1378183,2026-04-11,Torino,Hellas Verona,home,home,True,0.5356079890346583,1.85,3.1,4.0,0.5356079890346583,0.2897983160368123,0.1745936949285295
1378180,2026-04-11,AC Milan,Udinese,home,away,False,0.7142574549749041,1.4,4.5,8.5,0.7142574549749041,0.21080602302922938,0.07493652199586653
1378174,2026-04-11,Atalanta,Juventus,away,away,True,0.4434954884268341,3.1,3.4,2.3,0.27678697528442525,0.2797175362887407,0.4434954884268341
